SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NEWCB,COLORS,NOTE,
1C,WR,N,311175080,WAVI,6270,3,S,9,U,9,9,6,9,9,9,9,9,9,0,63,11.3,300,9/8/11,92,BLCA,1,F,,,,
1C,WR,N,311175081,OCWA,6460,2,S,J,U,9,9,3,0,0,4,0,0,1,0,59,10.9,300,9/15/11,80,BLCA,6,F,,,,
1C,WR,N,311175082,MGWA,6800,U,9,9,F,A,9,9,0,0,4,0,0,1,0,56,11,300,9/15/11,80,BLCA,3,F,,,,
1C,WR,N,311175083,MGWA,6800,5,A,R,M,A,9,6,0,0,1,0,0,1,0,64,10.1,300,9/15/11,83,BLCA,6,F,,,,
1C,JB,N,311175084,LISP,5830,3,S,9,U,9,9,6,0,0,0,0,F,1,0,67,19.6,300,9/15/11,90,BLCA,3,F,,,,
1C,WR,N,311175085,LISP,5830,2,S,X,U,9,9,3,0,0,1,2,0,1,0,62,999.9,300,9/15/11,104,BLCA,8,T,,,strong stress bars across rects,
1C,WR,N,311175086,SAVS,5420,2,S,9,U,9,9,4,0,0,1,0,0,1,0,67,15.7,300,9/22/11,90,BLCA,8,F,,,,
1C,WR,N,311175087,LISP,5830,2,S,J,U,9,9,5,0,0,1,0,0,1,0,62,14.7,300,9/22/11,92,BLCA,8,F,,,,
1C,WR,N,311175088,MGWA,6800,2,S,J,U,9,9,3,0,0,3,0,0,1,0,66,18.2,300,9/22/11,100,BLCA,1,F,,,,
1C,WR,N,311175089,SAVS,5420,2,S,J,U,9,9,3,0,0,3,0,0,1,0,62,15.5,300,9/22/11,103,BLCA,8,F,,,,
1C,WR,N,311175090,LISP,5830,2,S,9,U,9,9,3,0,0,1,0,0,1,0,62,17,300,9/29/11,85,BLCA,3,F,,,,
1C,WR,N,311175091,MGWA,6800,3,S,M,M,A,9,6,0,0,1,1,F,0,0,60,11.1,300,9/29/11,92,BLCA,5,F,,,,
1C,WR,N,311175092,LISP,5830,2,S,I,U,9,9,3,0,0,2,0,0,1,0,61,15.6,300,9/29/11,101,BLCA,2,F,,,,
