SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NOTE
0,WR,R,272065092,ORJU,5671,2,S,H,F,H,9,3,0,0,1,3,F,1,0,70,17.6,300,9/23/13,94,BLCA,1,F,
0,WR,N,272065093,ORJU,5671,3,A,M,F,A,9,9,9,9,9,9,9,9,9,999,16.8,300,8/22/13,112,BLCA,10,F,
0,WR,N,272065094,RBNU,7280,2,J,9,U,9,9,9,4,0,2,9,9,9,9,999,18,300,8/22/13,112,BLCA,10,F,
0,WR,N,272065095,ORJU,5671,3,A,B,F,A,B,9,9,9,9,9,9,9,9,999,9.8,300,8/22/13,112,BLCA,10,F,
0,WR,N,272065096,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,16.7,300,8/22/13,112,BLCA,10,F,
0,WR,R,272065096,ORJU,5671,2,9,9,U,9,9,9,9,9,9,9,9,9,9,999,19.2,300,9/10/13,91,BLCA,1,F,
0,WR,N,272065097,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,16,300,8/22/13,112,BLCA,10,F,
0,WR,N,272065098,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,15.2,300,8/22/13,112,BLCA,10,F,
0,WR,N,272065099,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,16.1,300,8/22/13,112,BLCA,10,F,
0,WR,N,272065100,PUFI,5170,3,A,B,F,B,9,6,0,3,2,0,0,3,1,75,19.5,300,8/22/13,112,BLCA,10,F,
0,WR,N,272065101,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,16.2,300,8/22/13,112,BLCA,10,F,
0,WR,N,272065102,ORJU,5671,3,A,B,F,A,B,9,0,4,2,3,0,3,1,71,17.3,300,8/22/13,112,BLCA,10,F,
0,WR,N,272065103,DUFL,4690,2,S,J,U,9,9,1,0,0,1,0,0,0,0,62,10.8,300,8/30/13,75,BLCA,1,F,
